id,data_abertura,canal,parceiro,uf,linha,modelo,serie,lote,descricao_cliente,codigo_sintoma,prioridade_declarada,status,data_fechamento,sla_horas,custo_peca_brl,id_origem
OC-2026-000221,13/07/2026,E-mail,ATLAS MANUT EQUIP,GO,Maquina de Lavar,WM F60BW,WMF6785497,,"Aparelho nao liga. Tomada testada com outro equipamento, energia OK.",ERRO_DISPLAY,Media,Fechada,24/07/2026,120,639.73,
OC-2026-000287,06/04/2026,Formulario,MegaTec Reparos,BA,Monitor,34-WP65C,34WP786361,,Mensagem de ausencia de sinal. Cliente testou dois cabos diferentes.,SEM_SINAL,Baixa,fechada,15-04-2026 13:35,240,294.11,
OC-2026-000536,2026-07-20,Planilha Parceiro,MegaTec Reparos Ltda,BA,Maquina de Lavar,wd-11wv,WD11760583,L2605C,"nao escoa a agua, fica cheia",,Baixa,fechada,2026-08-03 13:49,240,951.13,
OC-2026-000535,24-04-2026 08:52,E-mail,Eletro Nordeste Assistencia,PE,TV,UQ7550PSF,UQ75396551,,"Aparelho nao liga. Tomada testada com outro equipamento, energia OK.",,Media,fechada,2026-05-15,120,882.96,
OC-2026-001697,2026-06-10,E-mail,TECNOAR,RJ,Geladeira,GC-L257FLQ,GCL2872956,L2603A,nao gela nada,NAO_GELA,Media,fechada,2026-06-17,120,1087.77,
OC-2026-001571,17/08/2026,E-mail,Tecnoar Servicos Eireli,RJ,Geladeira,GCL257FLQ,GCL2316849,L2605B,"Ruido intermitente na parte traseira, cliente relata que piorou nas ultimas semanas.",RUIDO_COMPRESSOR,,Fechado,27-08-2026 15:57,240,1295.77,
OC-2026-000146,2026-03-10,formulario,Refrig Vale Verde,MG,Geladeira,GT-39SSP,GT39491301,L2611A,ta pingando agua na parte de tras,PORTA_DESALINHADA,Baixa,ABERTA,,240,,
OC-2026-000452,01-03-2026 15:57,formulario,Tecnoar Servicos Eireli,RJ,Ar-Condicionado,AC S12TQ,ACS1581255,L2612B,"Baixa pressao no sistema, indicio de vazamento na linha.",VAZAMENTO_GAS,Baixa,Fechada,2026-03-11,240,480.06,
OC-2026-000351,2026-04-29,E-mail,NORTE ELETRO SERVICOS LTDA,CE,Maquina de Lavar,WM-T13BW,WMT1149484,L2601C,,,Media,Em atendimento,,120,,
OC-2026-000362,2026-05-09,Formulario,Prisma Assistencia Tecnica,PR,Geladeira,GCL257FLQ,GCL2783829,L2604C,"geladeira parou de gelar, so o congelador ta gelando um pouco",,,aberta,,240,,
OC-2026-000278,2026-03-23,E-mail,Atlas Manutencao,GO,Maquina de Lavar,WMT13BW,WMT1147797,L2602B,vazando agua embaixo do aparelho,,Alta,aguardando_peca,,72,799.44,
OC-2026-001407,2026-07-31,formulario,Refrigeracao Vale Verde,MG,Monitor,27UP550,27UP259969,,Mensagem de ausencia de sinal. Cliente testou dois cabos diferentes.,SEM_SINAL,Alta,Fechada,2026-08-03,72,281.11,
OC-2026-000417,2026-07-29,Planilha Parceiro,CENTRAL REPAROS BANDEIRANTES SA,SP,TV,NANO75SQA,NANO969060,L2604B,tela apagada,,Alta,fechada,17/08/2026,72,855.14,
OC-2026-001810,2026-03-21,FORM,Tecnoar Servicos Eireli,RJ,Maquina de Lavar,WD-11WV,WD11927501,L2611A,vazando agua embaixo do aparelho,VAZAMENTO_AGUA,,ABERTA,,120,,
OC-2026-001077,2026-07-03,E-mail,Sul Service Eletrodomesticos,RS,Maquina de Lavar,WMF60BW,WMF6650405,L2605A,agua fica parada no tambor,NAO_DRENA,Baixa,Fechado,16/07/2026,240,146.69,
OC-2026-001412,2026-04-20,email,MegaTec Reparos,BA,Maquina de Lavar,WD11WV,WD11987340,L2601B,Display apresenta codigo de erro intermitente. Cliente ja tentou reset.,ERRO_DISPLAY,Media,Fechada,2026-05-09 16:19,120,284.21,
OC-2026-001187,02/08/2026,E-mail,Oficina Digital,SP,Geladeira,GCL257FLQ,GCL2985840,L2604A,,NAO_GELA,Baixa,fechada,2026-08-13,240,539.73,
OC-2026-001820,2026-03-05,formulario,REFRIGERACAO VALE VERDE LTDA,MG,Maquina de Lavar,wd-11wv,WD11712941,L2601A,erro no painel,,Alta,Aguardando peca,,72,860.96,
OC-2026-001171,2026-04-01,formulario,Eletro Servicos Andrade,SP,Ar-Condicionado,AC-D18MQ,ACD1802501,L2612C,"Aparelho nao liga. Tomada testada com outro equipamento, energia OK.",NAO_LIGA,Baixa,Aberta,,240,,
OC-2026-000846,2026-05-01 13:44,Formulario,MEGATEC,BA,Ar-Condicionado,AC S12TQ,ACS1263249,L2601A,,CONTROLE_NAO_RESPONDE,Baixa,Fechada,2026-05-26,240,80.27,
OC-2026-001462,2026-07-18,Planilha Parceiro,Eletro Servicos Andrade ME,SP,TV,NANO-75SQA,NANO427675,L2605B,sem som nenhum,SEM_AUDIO,Alta,FECHADA,2026-07-23,72,523.15,
OC-2026-000028,12/04/2026,Formulario,Norte Eletro Servicos,CE,Ar-Condicionado,AC-S12TQ,ACS1567925,L2602B,condensadora fazendo muito barulho,,,FECHADA,04/05/2026,240,667.7,
OC-2026-000416,05/07/2026,Planilha Parceiro,Refrigeracao Vale Verde,MG,Maquina de Lavar,WMT13BW,WMT1508036,L2605B,Cliente relata poca de agua no chao apos o uso.,VAZAMENTO_AGUA,Media,FECHADA,2026-07-16 18:13,120,131.15,
OC-2026-001403,2026-05-31,E-mail,OFICINA DIGITAL CAMPINAS ME,SP,Monitor,34-WP65C,34WP592122,,nao liga de jeito nenhum,,Critica,ABERTA,,72,,
OC-2026-001233,2026-06-23,E-mail,Oficina Digital Campinas,SP,TV,NANO-75SQA,NANO938691,L2605A,nao liga de jeito nenhum,,Baixa,FECHADA,12/07/2026,240,620.91,
OC-2026-000363,2026-03-04,Formulario,MegaTec Reparos Ltda,BA,TV,oled55c4,OLED915549,,Sem imagem. Audio presente. Cliente ja testou outra fonte de video.,,Baixa,Fechado,2026-03-27,240,346.53,
OC-2026-001416,08/03/2026,formulario,Eletro Nordeste Assistencia,PE,Geladeira,GT39SSP,GT39840331,L2601A,,NAO_GELA,Baixa,Aguardando peca,,240,1008.6,
OC-2026-001418,04/03/2026,email,MEGATEC,BA,Maquina de Lavar,WM-F60BW,WMF6936173,L2602A,"Aparelho nao liga. Tomada testada com outro equipamento, energia OK.",NAO_LIGA,Media,FECHADA,25/02/2026,120,492.85,
OC-2026-000991,2026-04-09 18:02,E-mail,MegaTec Reparos Ltda,BA,Ar-Condicionado,AC-D18MQ,ACD1759811,L2601B,"Baixa pressao no sistema, indicio de vazamento na linha.",VAZAMENTO_GAS,Media,Em atendimento,,120,,
OC-2026-001591,08/06/2026,Planilha Parceiro,Assist Tec Silva,SP,Maquina de Lavar,WM F60BW,WMF6450541,L2603B,Cliente relata que a agua nao drena ao final do ciclo.,NAO_CENTRIFUGA,,fechada,2026-06-10 09:51,72,313.97,
OC-2026-001840,2026-07-22,E-mail,Central Reparos Band.,SP,Geladeira,GC-B247SLUV,GCB2655141,L2606C,"com uns 60 dias de uso comecou a esquentar dentro, hoje nao gela mais",TEMP_ALTA_GABINETE,Alta,Aberta,,72,822.82,
OC-2026-000321,03-03-2026 18:22,Formulario,Refrigeracao Vale Verde,MG,Maquina de Lavar,WMT13BW,WMT1672985,L2612B,para na centrifugacao e apita,NAO_CENTRIFUGA,Media,Em atendimento,,120,,
OC-2026-001209,2026-04-27,Formulario,ATLAS MANUT EQUIP,GO,Maquina de Lavar,WMT13BW,WMT1697951,L2602A,erro no painel,ERRO_DISPLAY,Critica,Em atendimento,,72,,
OC-2026-000457,2026-04-15,Formulario,Tecnoar Servicos Eireli,RJ,Maquina de Lavar,WM-F60BW,WMF6640920,L2603A,erro no painel,ERRO_DISPLAY,Alta,em_atendimento,,72,,
OC-2026-001353,25/03/2026,Formulario,Eletro Nordeste,PE,Ar-Condicionado,ACD18MQ,ACD1918487,L2612B,"nao gela o ambiente, so joga ar quente",,Media,Aberta,,120,,
OC-2026-001461,2026-04-24,Formulario,Prisma Assist Tecnica,PR,Monitor,24-MP400,24MP107057,L2603A,"morreu do nada, nao acende nem a luzinha",NAO_LIGA,Media,Fechado,2026-05-20,120,285.49,
OC-2026-001363,23/07/2026,Planilha Parceiro,Norte Eletro Servicos,CE,Maquina de Lavar,WMT13BW,WMT1108183,,Cliente relata que a agua nao drena ao final do ciclo.,,,ABERTA,,120,,
OC-2026-000129,2026-06-20 08:39,planilha_parceiro,REFRIGERACAO VALE VERDE LTDA,MG,Maquina de Lavar,WMT13BW,WMT1723422,L2605A,"nao escoa a agua, fica cheia",NAO_DRENA,Media,Fechada,11/07/2026,120,326.82,
OC-2026-001706,11/05/2026,formulario,Atlas Manutencao,GO,Maquina de Lavar,WD-11WV,WD11514106,L2602A,Display apresenta codigo de erro intermitente. Cliente ja tentou reset.,ERRO_DISPLAY,Media,Fechado,08/06/2026,120,490.92,
OC-2026-000259,2026-07-23,Planilha Parceiro,REFRIGERACAO VALE VERDE LTDA,MG,Maquina de Lavar,wd-11wv,WD11857552,L2605C,"vazamento constante, cliente teve que colocar pano embaixo",VAZAMENTO_AGUA,Critica,fechada,2026-07-26,72,209.02,
OC-2026-000044,22/05/2026,Formulario,TECNOAR,RJ,Ar-Condicionado,AC-D18MQ,ACD1629660,L2604B,nao liga de jeito nenhum,,Baixa,Fechado,2026-05-28,240,403.42,
OC-2026-001306,2026-03-08,email,Refrig Vale Verde,MG,Geladeira,GT39SSP,GT39655072,L2611C,nao gela nada,NAO_GELA,Alta,Fechada,2026-03-13 07:36,72,1173.12,
OC-2026-000036,2026-07-30,Planilha Parceiro,MegaTec Reparos Ltda,BA,TV,NANO-75SQA,NANO945828,L2604C,aparece codigo de erro no visor e para tudo,ERRO_DISPLAY,Media,Aberta,,120,,
OC-2026-000447,2026-04-01 18:52,email,Prisma Assist Tecnica,PR,TV,NANO75SQA,NANO898367,L2612C,tela preta mas o som funciona,TELA_ESCURA,,Em atendimento,,72,,
OC-2026-001873,2026-08-17,formulario,MegaTec Reparos Ltda,BA,Geladeira,GCB247SLUV,GCB2524401,L2606A,"aparelho com 2 meses, gelou normal no comeco e depois foi perdendo, agora nao gela mais nada",,Critica,ABERTA,,72,832.53,
OC-2026-000663,14-04-2026 08:11,E-mail,PRISMA AT,PR,Maquina de Lavar,WM-T13BW,WMT1301055,L2601A,Cliente relata poca de agua no chao apos o uso.,VAZAMENTO_AGUA,Baixa,Aguardando peca,,240,99.92,
OC-2026-000880,2026-04-22,formulario,ELETRO NORDESTE ASSIST LTDA,PE,Monitor,24-MP400,24MP146069,L2601B,tela preta mas o som funciona,TELA_ESCURA,Media,Em atendimento,,120,,
OC-2026-001883,2026-08-14,email,Atlas Manutencao de Equipamentos,GO,Geladeira,GCB247SLUV,GCB2983325,L2605B,"comprou faz uns 2 meses e parou de gelar, o compressor liga e desliga direto",,Alta,Fechado,2026-08-16 08:35,72,794.76,
OC-2026-000719,2026-03-25,formulario,MegaTec Reparos Ltda,BA,Ar-Condicionado,ACDUAL9K,ACDU272967,L2612B,"controle nao funciona mais, ja troquei a pilha",CONTROLE_NAO_RESPONDE,Critica,fechada,26/03/2026,72,42.77,
OC-2026-000106,24/05/2026,Formulario,MegaTec Reparos,BA,Geladeira,GC-L257FLQ,GCL2733046,L2602B,"geladeira parou de gelar, so o congelador ta gelando um pouco",,Alta,Fechada,30/05/2026,72,302.16,
OC-2026-000936,2026-04-28,Formulario,Sul Service,RS,Maquina de Lavar,wd-11wv,WD11263574,L2603A,ta pingando agua na parte de tras,VAZAMENTO_AGUA,Baixa,Fechado,2026-05-12,240,213.34,
OC-2026-000415,2026-04-25 07:01,formulario,Refrig Vale Verde,MG,Maquina de Lavar,WD-11WV,WD11511728,L2602C,,NAO_CENTRIFUGA,Alta,Fechada,2026-05-12,72,318.4,
OC-2026-001973,2026-06-27,Formulario,Central Reparos Band.,SP,Monitor,27-UP550,27UP641972,L2605A,a tela fica piscando o tempo todo,,Baixa,reaberta,,240,,OC-2026-000372
OC-2026-001541,2026-03-16,E-mail,Assistencia Tecnica Silva Ltda,SP,Monitor,27-UP550,27UP416056,L2602B,apareceu umas linhas verticais na tela,,Critica,fechada,2026-03-23,72,974.62,
OC-2026-000372,2026-06-07,FORM,TECNOAR,RJ,Monitor,27-UP550,27UP641972,L2604C,a tela fica piscando o tempo todo,,Baixa,Fechada,2026-06-30,240,319.33,
OC-2026-002039,2026-06-24,formulario,Oficina Digital,SP,Geladeira,GCL257FLQ,GCL2432085,L2603A,"Porta desalinhada, borracha de vedacao solta em um dos cantos.",PORTA_DESALINHADA,Baixa,aberta,,240,82.76,
OC-2026-000675,2026-06-06,formulario,Eletro Servicos Andrade,SP,TV,oled55c4,OLED894092,L2605C,"morreu do nada, nao acende nem a luzinha",LINHAS_TELA,Media,em_atendimento,,120,,
OC-2026-001414,22/07/2026,FORM,Eletro Nordeste,PE,Maquina de Lavar,WD-11WV,WD11105063,L2604B,aparece codigo de erro no visor e para tudo,ERRO_DISPLAY,Baixa,FECHADA,2026-07-25,240,660.81,
OC-2026-001758,2026-06-13 16:10,E-mail,Tecnoar Servicos,RJ,Monitor,34WP65C,34WP294465,L2604C,a tela fica piscando o tempo todo,,Media,Fechado,2026-07-02,120,595.37,
OC-2026-001622,2026-08-06,FORM,Eletro Nordeste Assistencia,PE,Ar-Condicionado,AC DUAL 9K,ACDU195996,L2605C,nao resfria mais,,Media,aguardando_peca,,120,818.94,
OC-2026-000440,2026-08-28 11:21,Planilha Parceiro,Central Reparos Band.,SP,TV,oled55c4,OLED283667,,sem som nenhum,SEM_AUDIO,Media,Fechado,07/09/2026,120,395.72,
OC-2026-000421,2026-06-11,planilha_parceiro,ELETRO SERV ANDRADE,SP,TV,UQ7550PSF,UQ75636797,L2602C,nao liga de jeito nenhum,,Media,fechada,14/06/2026,120,707.37,
OC-2026-000209,2026-08-14,Planilha Parceiro,Eletro Nordeste Assistencia,PE,Geladeira,GC-L257FLQ,GCL2826321,L2604B,Cliente relata que a geladeira nao esta refrigerando ha 3 dias. Alimentos estragaram.,,Baixa,FECHADA,2026-08-22,240,236.56,
